experiment_id,experiment_date,hypothesis,research_target,cohort_definition,market_regime,sample_size,outcome_horizon,tested_rule,main_result,winner_effect,big_loser_effect,mean_return_effect,robustness_result,original_conclusion,status,eligible_for_phase4,allowed_usage,source_files
P3A_PERSISTENCE_DIRECT_EXIT,2026-07-24,Persistent risk states can become an economically useful automatic exit.,Exit actionability,Phase 2.7 trajectory observations with consecutive AT_RISK/FAILED states,MIXED,Rule-level trajectory cohort; see source report,remaining forward return after trigger,Rule A AT_RISK>=3; Rule B FAILED>=2; Rule C FAILED>=3,"Losers sometimes lost less, but winners lost more upside; no rule improved all left-tail thresholds.",Winner opportunity cost exceeded loser savings.,No consistent improvement across -10%/-15%/-20% tails.,Rule B mean delta -0.40pp with fully negative CI; Rule C near flat.,Date bootstrap and time split did not establish positive economic value.,SHADOW_ONLY,SHADOW_ONLY,False,SHADOW_INFORMATION,docs/plans/phase3a_persistence_actionability_report.md
P3B_SOURCE_GROUP_AUTO_REMOVAL,2026-07-27,A noisy admission source can be removed while retaining nearly all winners.,Candidate-source compression,Daily source combinations in the reconstructed candidate cohort,MIXED,Source-combination cohort; see source report,Day10,Programmatic removal simulation over A/B/C source groups,No source group passed the removal criteria; apparently risky groups also contained many winners.,Removal would sacrifice a disproportionate number of winners.,No qualifying big-loser removal group.,No validated positive mean-return effect.,Daily/time split did not rescue a removal rule.,STOP,REJECT,False,NONE,docs/plans/phase3b_candidate_admission_report.md
P3B_AC_SOURCE_EFFICIENCY,2026-07-27,Source combination A+C may be a more efficient candidate context.,Admission attribution,A/B/C source combinations in the same reconstructed cohort,MIXED,AC subgroup; see source report,Day10,Descriptive comparison of source combination A+C,"A+C had the best candidates-per-winner and big-losers-per-winner, but the analysis was descriptive and non-causal.",Directionally favorable winner efficiency.,Directionally favorable loser efficiency.,Not established as an independent mean-return rule.,Insufficient for an automatic removal or ranking rule.,Positive descriptive finding outside the STOP conclusion,WEAK,False,TIE_BREAK|SHADOW_INFORMATION,docs/plans/phase3b_candidate_admission_report.md
P3C_RISKOFF_FAILURE_VETO,2026-07-27,Day1 failure archetypes can veto weak-market candidates safely.,Weak-market precision,159 historical RISK_OFF candidates across 6 dates,RISK_OFF,159,Day10,Failure archetypes F1-F5 and veto Rules A/B/C,No archetype or veto was stable; some negative-looking archetypes contained many winners.,Rules failed the >=95% winner-retention requirement.,Rules failed the >=25% big-loser-removal requirement.,No stable improvement.,Six-date historical check rejected the single-day impression.,Failure Archetype / Veto STOP,REJECT,False,NONE,docs/plans/phase3c_riskoff_survival_report.md
P3C_CANDIDATE_DISCOVERY_RECALL,2026-07-27,Missed strong stocks are mainly lost before the publishing layer.,Candidate discovery recall,2026-07-23 WATCH plus TOP70-eligible miss audit,RISK_OFF,20 selected; 63 missed-strong,Day1 forensic,Stage-level miss attribution,"Most misses occurred in candidate discovery, but no safe compression rule was produced.",Recall diagnosis only.,Not a loser-removal rule.,Not assessed.,"Useful pipeline diagnosis, not an automatic candidate compression predicate.",RECALL_FIX,SHADOW_ONLY,False,SHADOW_INFORMATION,docs/plans/phase3c_riskoff_survival_report.md
P3D_MOMENTUM_RANK_GRADIENT,2026-07-27,Existing momentum ordering contains repeatable winner enrichment.,Ranking value,"8,321 matured raw-union daily events across 20 replay dates",BULL_TREND|VOLATILE_RANGE|RISK_OFF,8321,Day10,Existing momentum_score order; Top120 vs 121-200 and adjacent rank buckets,Winner rate declined monotonically from 31.2% in rank 1-40 to 8.2% in rank 501+; Top120 beat 121-200 by 12.0pp.,Strong positive winner enrichment in earlier ranks.,"Big-loser rate was also higher in earlier ranks, so rank is not a safe hard filter by itself.",Mean and median return declined with rank.,Date-block bootstrap confirmed the Top120 winner-rate difference; adjacent buckets showed the same direction.,NO_ACTIONABLE_FIX; accept current truncation ordering,PASS,True,RANK,docs/plans/phase3d_candidate_discovery_report.md
P3D_FIXED_SIZE_REPLACEMENT,2026-07-27,Replacing Top120 rows with near-miss candidates can improve winner recall without adding losers.,Candidate replacement,20 replay dates with raw union and Top120,BULL_TREND|VOLATILE_RANGE|RISK_OFF,3 predeclared simulations,Day10,Replacement simulations A/B/C at fixed size 120,All three simulations reduced winner count.,Negative.,No compensating validated loser benefit.,No validated improvement.,Direction agreed with the monotonic rank gradient.,NO_ACTIONABLE_FIX,REJECT,False,NONE,docs/plans/phase3d_candidate_discovery_report.md
P3D_FUNDAMENTAL_CHANNEL_D,2026-07-27,Fundamental channel D can contribute candidate evidence.,Admission channel health,20-day reconstructed raw union,MIXED,0 D hits,Day10,Existing D-channel rule,Upstream revenue coverage was incomplete; the rule could not be evaluated.,Unknown.,Unknown.,Unknown.,Data gap prevented validation.,D_DATA_GAP,INCOMPLETE,False,NONE,docs/plans/phase3d_candidate_discovery_report.md
P3E_RISKOFF_EXTREME_ACCELERATION_FILTER,2026-07-28,Extreme rank acceleration can remove weak-market losers.,Downtrend loser control,Frozen A=246 and stress B=87; stress B has one winner,RISK_OFF,A=246; B=87; B winner=1; B dates=6,Day10,Exclude rs_rank_improvement_5d >= 600,Reached the loser-control goal but not winner dominance; short stress window and one winner.,Winner safety could not be established in the stress cohort.,Directionally reduced losers under stress.,Not established for bull-market returns.,Provisional six-date stress result only.,LOSER_CONTROL_ONLY,WEAK,False,SHADOW_INFORMATION,docs/plans/phase3e_downtrend_report.md
P3F_REGIME_ADAPTIVE_CONTRACTION,2026-07-28,Market-aware publishing contraction can control weak-market losers.,Regime-adaptive contraction,"Frozen A=246, B=87, C=140 reconstructed episodes",RISK_OFF|WEAKENING,A=246; B=87; C=140,Day10,"Frozen market, pocket, and stock-survival policy family","Policy family reduced stress losers, but winner evidence was insufficient and later attribution removed pocket increment.",Normal/stress winner evidence insufficient.,Positive weak-market loser-control direction.,Not a bull mean-return result.,"Reconstructed, not production exact; superseded by Phase 3G attribution.",LOSER_CONTROL_ONLY,WEAK,False,SHADOW_INFORMATION,docs/plans/phase3f_v2/phase3f_v2_report.md|docs/plans/phase3g/phase3g_report.md
